episode,turns,won,opponent_type,rl_total,rl_action_head,rl_target_head,rl_card_select_head,opp_total,opp_action_head,opp_target_head,opp_card_select_head
92829,22,0,ComputerPlayer7,47,44,3,0,0,0,0,0
92849,22,0,ComputerPlayer7,36,30,2,4,0,0,0,0
92867,8,0,ComputerPlayer7,29,29,0,0,0,0,0,0
92865,12,0,ComputerPlayer7,34,34,0,0,0,0,0,0
92835,30,0,ComputerPlayer7,77,67,6,4,0,0,0,0
92847,18,0,ComputerPlayer7,24,20,4,0,0,0,0,0
92734,37,0,ComputerPlayer7,151,135,9,7,0,0,0,0
92870,10,0,ComputerPlayer7,17,16,0,1,0,0,0,0
92851,13,1,ComputerPlayer7,33,31,2,0,0,0,0,0
92794,16,0,ComputerPlayer7,93,82,6,5,0,0,0,0
92863,19,1,ComputerPlayer7,40,36,2,2,0,0,0,0
92872,14,0,ComputerPlayer7,27,23,4,0,0,0,0,0
92850,22,0,ComputerPlayer7,60,57,3,0,0,0,0,0
92864,14,0,ComputerPlayer7,40,35,2,3,0,0,0,0
92877,13,1,ComputerPlayer7,24,22,2,0,0,0,0,0
92848,20,0,ComputerPlayer7,41,33,2,6,0,0,0,0
92868,15,1,ComputerPlayer7,37,28,7,2,0,0,0,0
92810,28,0,ComputerPlayer7,93,83,10,0,0,0,0,0
92813,15,0,ComputerPlayer7,80,74,5,1,0,0,0,0
92878,12,0,ComputerPlayer7,33,32,0,1,0,0,0,0
92791,22,0,ComputerPlayer7,58,53,5,0,0,0,0,0
92846,20,0,ComputerPlayer7,46,44,2,0,0,0,0,0
92879,14,0,ComputerPlayer7,30,28,2,0,0,0,0,0
92886,10,0,ComputerPlayer7,28,28,0,0,0,0,0,0
92786,47,1,ComputerPlayer7,164,143,5,16,0,0,0,0
92873,19,1,ComputerPlayer7,46,36,1,9,0,0,0,0
92876,16,0,ComputerPlayer7,29,25,4,0,0,0,0,0
92779,26,0,ComputerPlayer7,122,111,8,3,0,0,0,0
92843,22,0,ComputerPlayer7,79,75,4,0,0,0,0,0
92880,13,1,ComputerPlayer7,33,27,2,4,0,0,0,0
92854,28,0,ComputerPlayer7,71,61,6,4,0,0,0,0
92827,40,0,ComputerPlayer7,101,91,4,6,0,0,0,0
92899,14,0,ComputerPlayer7,19,18,1,0,0,0,0,0
92860,16,0,ComputerPlayer7,52,49,3,0,0,0,0,0
92856,19,1,ComputerPlayer7,61,50,8,3,0,0,0,0
92866,24,0,ComputerPlayer7,48,38,3,7,0,0,0,0
92824,16,0,ComputerPlayer7,81,73,6,2,0,0,0,0
